id,label,language,name,semester,ssd,title,type,year
2369,Module,Italian,,First Semester,ICAR/02,COSTRUZIONI IDRAULICHE PER L'AMBIENTE E LA DIFESA DEL SUOLO,,2024/2025
12895,Instructor,,,,ICAR/02,,,
2371,Module,Italian,,First Semester,ICAR/03,"BONIFICA, RIPRISTINO E RIQUALIFICAZIONE DEI SITI CONTAMINATI",,2024/2025
2372,Module,Italian,,First Semester,GEO/11,GEOFISICA APPLICATA ALL'INGEGNERIA,,2024/2025
2373,Module,Italian,,Second Semester,ICAR/20,PIANIFICAZIONE TERRITORIALE,,2024/2025
2374,Module,Italian,,Second Semester,ICAR/01,IDRAULICA AMBIENTALE E MARITTIMA,,2024/2025
12888,Instructor,,,,CEAR-01/A,,,
2376,Module,Italian,,Second Semester,ICAR/09,TECNICA DELLE COSTRUZIONI,,2024/2025
14943,Instructor,,,,CEAR-07/A,,,
2378,Module,Italian,,First Semester,GEO/05,IDROGEOLOGIA APPLICATA,,2023/2024
2379,Module,Italian,,First Semester,ICAR/07,MECCANICA DELLE ROCCE,,2024/2025
15073,Instructor,,,,CEAR-05/A,,,
2381,Module,Inglese,,First Semester,ICAR/03,WASTE MANAGEMENT AND ROLE IN CLIMATE CHANGE,,2023/2024
2382,Module,Italian,,First Semester,ICAR/07,GEOTECNICA PER L'AMBIENTE E IL TERRITORIO,,2023/2024
12892,Instructor,,,,ICAR/07,,,
2384,Module,Inglese,,First Semester,ING-IND/29,URBAN MINING AND RECYCLING OF MATERIALS,,2023/2024
2385,Module,Italian,,First Semester,IUS/10,LEGISLAZIONE AMBIENTALE,,2023/2024
46298,Instructor,,,,,,,
2387,Module,Italian,,Second Semester,ICAR/03,IMPIANTI DI TRATTAMENTO DELLE ACQUE,,2023/2024
2388,Module,Italian,,Second Semester,ICAR/03,STUDIO DI IMPATTO AMBIENTALE E ANALISI DI RISCHIO,,2023/2024
2389,Module,Inglese,,Second Semester,ICAR/02,HYDRAULIC RISK ADAPTATION AND MITIGATION MEASURES,,2023/2024
12811,Instructor,,,,CEAR-01/B,,,
2391,Module,Italian,,Second Semester,ICAR/07,VALUTAZIONE E MITIGAZIONE DEL RISCHIO GEOTECNICO SISMICO,,2023/2024
2392,Module,Inglese,,Second Semester,GEO/09,ASSESSMENT AND SUSTAINABLE USE OF ENVIRONMENTAL RESOURCES,,2023/2024
2393,Module,Inglese,,Second Semester,ING-IND/31,RENEWABLE ENERGY,,2023/2024
14272,Instructor,,,,ING-IND/31,,,
2395,Curriculum,,Environmental Engineering for Climate Change Adaptation and Mitigation - in lingua inglese,,,,,
2396,Module,Inglese,,First Semester,ICAR/01,URBAN CLIMATOLOGY,,2024/2025
2397,Module,Inglese,,First Semester,ICAR/20,SUSTAINABLE DEVELOPMENT AND PLANNING,,2024/2025
2398,Module,Italian,,First Semester,,GROUNDWATER MANAGEMENT AND TREATMENT,,2024/2025
2399,Module,Italian,,First Semester,ICAR/03,GROUNDWATER TREATMENT,,2024/2025
2400,Module,Italian,,First Semester,GEO/05,GROUNDWATER MANAGEMENT,,2024/2025
2401,Module,Inglese,,Second Semester,ICAR/07,LANDSLIDES AND SLOPE ENGINEERING,,2024/2025
14851,Instructor,,,,CEAR-05/A,,,
2403,Module,Inglese,,Second Semester,ICAR/06,REMOTE SENSING AND GEO BIG DATA,,2024/2025
2404,Module,Inglese,,Second Semester,ICAR/03,GREENHOUSE GASES: CONTROL AND TREATMENT,,2024/2025
2405,Module,Inglese,,First Semester,ING-IND/35,Environmental Economics,,2023/2024
2406,Module,Inglese,,First Semester,ICAR/05,SUSTAINABLE MOBILITY,,2023/2024
2407,Module,Inglese,,First Semester,GEO/11,ENVIRONMENTAL GEOPHYSICS,,2023/2024
2408,Module,Inglese,,Second Semester,ICAR/20,POLICIES AND ACTIONS FOR CLIMATE CHANGE MITIGATION,,2023/2024
2409,Module,Inglese,,Second Semester,,MODELLING OF ENVIRONMENTAL POLLUTION,,2023/2024
2410,Module,Inglese,,Second Semester,ICAR/03,MODELLING OF ENVIRONMENTAL POLLUTION 2,,2023/2024
2411,Module,Inglese,,Second Semester,ICAR/01,MODELLING OF ENVIRONMENTAL POLLUTION 1,,2023/2024
2412,Module,Inglese,,Second Semester,ICAR/01,HYDROCLIMATOLOGY,,2023/2024
2413,Module,Inglese,,Second Semester,,FINAL THESIS PROJECT,,2023/2024
2414,Module,Inglese,,Second Semester,,COMPUTING AND TELEMATIC SKILLS,,2023/2024
2415,Curriculum,,Ingegneria per l' Ambiente e il Territorio -  Gestione delle risorse idriche e risanamento ambientale,,,,,
2416,Module,Italian,,Second Semester,CHIM/07,FONDAMENTI DI CHIMICA AMBIENTALE,,2024/2025
14194,Instructor,,,,CHEM-06/A,,,
2418,Module,Italian,,Second Semester,ING-IND/29,CAMPIONAMENTO E TRATTAMENTO FISICO DEI SUOLI CONTAMINATI,,2023/2024
2419,DegreeProgram,Italian,Ingegneria della Sicurezza e Protezione Civile - Safety and Civil Protection Engineering,,,,Laurea Magistrale,
2420,Curriculum,,Ingegneria della Sicurezza e Protezione Civile - Industriale,,,,,
2421,Module,Italian,,First Semester,,ANALISI DI RISCHIO,,2024/2025
2422,Module,Italian,,First Semester,ING-IND/28,MODULO II,,2024/2025
2423,Module,Italian,,First Semester,ING-IND/28,MODULO I,,2024/2025
2424,Module,Italian,,First Semester,MED/42,IGIENE DEL LAVORO E PREVENZIONE SANITARIA,,2024/2025
2425,Module,Italian,,First Semester,SECS-P/10,ECONOMIA CIRCOLARE,,2024/2025
2426,Module,Italian,,First Semester,ING-IND/19,AFFIDABILITA' E SICUREZZA NEGLI IMPIANTI AD ALTO RISCHIO,,2024/2025
14834,Instructor,,,,IIND-07/D,,,
2428,Module,Italian,,First Semester,ING-IND/17,SISTEMI DI GESTIONE INTEGRATI,,2024/2025
29809,Instructor,,,,,,,
2430,Module,Italian,,Second Semester,IUS/07,DIRITTO DELLA SICUREZZA SUL LAVORO,,2024/2025
6213,Instructor,,,,IUS/07,,,
2432,Module,Italian,,Second Semester,,SOSTENIBILITA' ENERGETICA AMBIENTALE,,2024/2025
2433,Module,Italian,,Second Semester,ING-IND/11,SOSTENIBILITA' ENERGETICA AMBIENTALE 2,,2024/2025
40894,Instructor,,,,IIND-07/B,,,
2435,Module,Italian,,Second Semester,ING-IND/11,SOSTENIBILITA' ENERGETICA AMBIENTALE 1,,2024/2025
2436,Module,Italian,,Second Semester,ING-INF/03,SECURITY SYSTEMS,,2024/2025
11404,Instructor,,,,,,,
2438,Module,Inglese,,Second Semester,ING-IND/31,MACHINE LEARNING FOR SAFETY SYSTEMS,,2024/2025
2439,Module,Italian,,First Semester,ING-IND/25,AFFIDABILITA' E SICUREZZA DEGLI IMPIANTI DI PROCESSO,,2023/2024
14200,Instructor,,,,ING-IND/25,,,
2441,Module,Italian,,First Semester,ING-IND/28,SICUREZZA NEI CANTIERI,,2024/2025
2442,Module,Italian,,First Semester,ING-IND/21,AFFIDABILITA' DEI MATERIALI,,2023/2024
43946,Instructor,,,,ING-IND/21,,,
2444,Module,Inglese,,First Semester,ING-IND/27,PROCESS AND PRODUCT SAFETY IN THE CHEMICAL INDUSTRY,,2024/2025
14185,Instructor,,,,ING-IND/27,,,
2446,Module,Inglese,,First Semester,ING-IND/30,SUSTAINABLE USE OF UNDERGROUND RESOURCES,,2023/2024
14059,Instructor,,,,CEAR-02/D,,,
2448,Module,Italian,,Second Semester,ING-IND/33,SICUREZZA E GESTIONE DEI SISTEMI ELETTRICI,,2024/2025
2449,Module,Italian,,Second Semester,,SICUREZZA NEGLI IMPIANTI PER IL TRATTAMENTO DEI SOLIDI,,2023/2024
2450,Module,Italian,,Second Semester,ING-IND/29,MODULO II,,2023/2024
2451,Module,Italian,,Second Semester,ING-IND/29,MODULO I,,2023/2024
2452,Module,Italian,,Second Semester,ING-IND/21,ANALISI FORENSI SUI MATERIALI METALLICI,,2023/2024
14214,Instructor,,,,IIND-03/C,,,
2454,Curriculum,,Ingegneria della Sicurezza e Protezione Civile - Civile (percorso formativo valido anche ai fini del conseguimento del doppio titolo italo-spagnolo),,,,,
2455,Module,Italian,,First Semester,,PROGETTAZIONE DEI TRASPORTI IN EMERGENZA,,2024/2025
2456,Module,Italian,,First Semester,ICAR/05,PROGETTAZIONE DEI TRASPORTI IN EMERGENZA II,,2024/2025
12859,Instructor,,,,,,,
2458,Module,Italian,,First Semester,ICAR/04,PROGETTAZIONE DEI TRASPORTI IN EMERGENZA I,,2024/2025
14261,Instructor,,,,ING-IND/33,,,
2460,Module,Italian,,Second Semester,ING-IND/28,RISCHIO E RESILIENZA TERRITORIALE,,2024/2025
2461,Module,Italian,,Second Semester,,PROGETTAZIONE DELLA DIFESA DAI RISCHI NATURALI,,2024/2025
2462,Module,Italian,,Second Semester,ICAR/02,MODULO II,,2024/2025
2463,Module,Italian,,Second Semester,ICAR/07,MODULO I,,2024/2025
2464,Module,Italian,,Second Semester,ICAR/08,RISCHIO SISMICO NELLE STRUTTURE,,2024/2025
15048,Instructor,,,,ICAR/09,,,
2466,Module,Italian,,Second Semester,ICAR/09,PROGETTAZIONE STRUTTURALE ANTINCENDIO,,2024/2025
2467,Curriculum,,Ingegneria della Sicurezza e Protezione Civile - Safety Engineering for Territorial Sustainability  - in lingua inglese,,,,,
2468,Module,Inglese,,First Semester,MED/42,OCCUPATIONAL AND ENVIRONMENTAL HEALTH,,2024/2025
2469,Module,Inglese,,First Semester,IUS/07,INTERNATIONAL AND EUROPEAN UNION LAW ON OCCUPATIONAL SAFETY AND HEALTH AT WORK,,2024/2025
2470,Module,Inglese,,First Semester,,URBAN MINING,,2024/2025
2471,Module,Inglese,,First Semester,ING-IND/29,URBAN MINING II,,2024/2025
2472,Module,Inglese,,First Semester,ING-IND/29,URBAN MINING I,,2024/2025
2473,Module,Inglese,,Second Semester,SECS-P/10,CIRCULAR ECONOMY,,2024/2025
2474,Module,Inglese,,Second Semester,ING-IND/11,SUSTAINABLE ENERGY-RESOURCES AND APPLICATION,,2024/2025
2475,Module,Inglese,,Second Semester,,TUNNELLING AND EXCAVATION ENGINEERING,,2024/2025
2476,Module,Italian,,Second Semester,ING-IND/28,MODULO II,,2024/2025
2477,Module,Italian,,Second Semester,ING-IND/28,MODULO I,,2024/2025
2478,Module,Italian,,First Semester,,RISK MANAGEMENT FOR TERRITORIAL RESILIENCE,,2023/2024
2479,Module,Italian,,First Semester,ING-IND/28,RISK MANAGEMENT FOR TERRITORIAL RESILIENCE I,,2023/2024
14166,Instructor,,,,ING-IND/28,,,
2481,Module,Inglese,,First Semester,ING-IND/28,RISK MANAGEMENT FOR TERRITORIAL RESILIENCE II,,2023/2024
2482,Module,Inglese,,First Semester,,POWER SYSTEMS SAFETY,,2023/2024
2483,Module,Inglese,,First Semester,ING-IND/33,POWER SYSTEMS SAFETY MODULE I,,2023/2024
2484,Module,Inglese,,First Semester,ING-IND/33,POWER SYSTEMS SAFETY MODULE II,,2023/2024
2485,Module,Inglese,,Second Semester,ICAR/06,GEOMATICS FOR TERRITORIAL MONITORING PLAN,,2023/2024
2486,Curriculum,,Ingegneria della Sicurezza e Protezione Civile - Civile,,,,,
2487,Module,Italian,,Second Semester,,PROGETTAZIONE E RAPPRESENTAZIONE DELLA SICUREZZA TERRITORIALE,,2024/2025
2488,Module,Italian,,Second Semester,ICAR/06,MODULO II,,2024/2025
2489,Module,Italian,,Second Semester,ING-IND/28,MODULO I,,2024/2025
2490,Module,Italian,,Second Semester,ICAR/07,PROGETTAZIONE DELLA SICUREZZA GEOTECNICA,,2024/2025
2491,DegreeProgram,English,Environmental and Sustainable Building Engineering - Ingegneria per l'Ambiente e l'Edilizia Sostenibile (sede di Rieti),,,,Laurea Magistrale,
2492,Curriculum,,Environmental and Sustainable Building Engineering - Ingegneria per l'Ambiente e l'Edilizia Sostenibile (sede di Rieti) - CURRICULUM UNICO,,,,,
2493,Module,Inglese,,First Semester,ICAR/17,DIGITAL MODELLING FOR ARCHITECTURE,,2024/2025
2494,Module,Inglese,,First Semester,,REMOTE SENSING AND GIS,,2024/2025
2495,Module,Inglese,,First Semester,ICAR/06,GIS,,2024/2025
2496,Module,Inglese,,First Semester,ICAR/06,REMOTE SENSING,,2024/2025
2497,Module,Italian,,First Semester,ICAR/14,ARCHITECTURAL DESIGN FOR SUSTAINABLE BUILDING,,2024/2025
2498,Module,Inglese,,First Semester,ICAR/01,FUNDAMENTALS OF FLUID MECHANICS,,2024/2025
2499,Module,Inglese,,First Semester,ICAR/02,HYDRAULIC INFRASTRUCTURES,,2024/2025
2500,Module,Inglese,,Second Semester,,BUILDING DESIGN AND H-BIM FOR ARCHITECTURAL RENOVATION,,2024/2025
2501,Module,Inglese,,Second Semester,ICAR/10,H-BIM FOR ARCHITECTURAL RENOVATION,,2024/2025
13910,Instructor,,,,,,,
2503,Module,Inglese,,Second Semester,ICAR/10,BUILDING DESIGN FOR ARCHITECTURAL RENOVATION,,2024/2025
2504,Module,Inglese,,Second Semester,ICAR/03,WATER AND SOLID WASTE TREATMENT PLANTS,,2024/2025
2505,Module,Inglese,,Second Semester,,URBAN HEALTH AND SUSTAINABLE TRANSPORT,,2024/2025
2506,Module,Inglese,,Second Semester,ICAR/05,SUSTAINABLE TRANSPORT,,2024/2025
2507,Module,Inglese,,Second Semester,MED/42,URBAN HEALTH,,2024/2025
13867,Instructor,,,,MED/42,,,
2509,Module,Inglese,,Second Semester,ICAR/20,ENVIRONMENTAL AND URBAN PLANNING IN INNER AREAS,,2024/2025
13974,Instructor,,,,N/A,,,
2511,Module,Inglese,,First Semester,ICAR/08,STRUCTURAL DYNAMICS,,2023/2024
2512,Module,Inglese,,First Semester,ICAR/10,ARCHITECTURAL ENGINEERING FOR SUSTAINABLE BUILDINGS AND ENVIRONMENT,,2023/2024
2513,Module,Inglese,,First Semester,ING-IND/11,BIOCLIMATIC DESIGN,,2023/2024
2514,Module,Inglese,,First Semester,ING-IND/35,PROJECT FINANCING,,2023/2024
2515,Module,Inglese,,Second Semester,ICAR/07,FOUNDATION AND EARTH RETAINING STRUCTURES,,2023/2024
2516,Module,Inglese,,Second Semester,ICAR/09,SEISMIC DESIGN,,2023/2024
15019,Instructor,,,,ICAR/09,,,
2518,Module,Inglese,,Second Semester,ICAR/09,INNOVATION MATERIALS FOR STRUCTURAL DESIGN,,2023/2024
2519,Module,Inglese,,Second Semester,GEO/05,GROUNDWATER MANAGEMENT,,2023/2024
2520,Module,Inglese,,Second Semester,ICAR/10,ADVANCED DESIGN FOR SUSTAINABLE BUILDING COMPONENTS,,2023/2024
13993,Instructor,,,,N/A,,,
2522,Module,Inglese,,Second Semester,ICAR/03,ADVANCED PROCESSES AND TECHNOLOGIES FOR WATER SUSTAINABILITY,,2023/2024
2523,Module,Inglese,,Second Semester,ICAR/01,ENVIRONMENTAL HYDRAULICS,,2023/2024
12844,Instructor,,,,CEAR-01/A,,,
2525,Module,Inglese,,Second Semester,,FINAL TEST,,2023/2024
2526,Module,Inglese,,Second Semester,,OTHER EDUCATIONAL ACTIVITIES TO FACILITATE ENTRY TO THE LABOUR MARKET,,2023/2024
2527,DegreeProgram,Italian,Ingegneria Civile,,,,Laurea Magistrale,
2528,Curriculum,,Ingegneria Civile (percorso valido anche ai fini del conseguimento del doppio  titolo italo-francese),,,,,
2529,Module,Italian,,First Semester,ICAR/07,DEEP EXCAVATIONS AND TUNNELLING IN THE URBAN ENVIRONMENT,,2024/2025
15057,Instructor,,,,ICAR/07,,,
2531,Module,Italian,,Second Semester,ICAR/04,COMPLEMENTI DI PROGETTAZIONE STRADALE,,2024/2025
12845,Instructor,,,,ICAR/04,,,
2533,Module,Italian,,Second Semester,ICAR/04,TECNICA E SICUREZZA DEI CANTIERI,,2024/2025
2534,Module,Italian,,Second Semester,ICAR/08,DINAMICA DELLE STRUTTURE,,2024/2025
